Listing ID,Name,Airbnb URL,Latitude,Longitude,Google Maps URL,Property Type,Room Type,Bedrooms,Bathrooms,Accommodates,Rating (out of 100),Reviews,Host ID,Host Name,Host Listings Count,Minimum Nights,Cancellation Policy,Cleaning Fee (USD),Extra People Fee (USD),Avg Daily Rate LTM (USD),Avg Occupancy Rate LTM (%),Annual Revenue LTM (USD),Revenue Potential (USD),Active Days LTM,Number of Bookings LTM,Allows Pets,Has License,License,Added On,Last Seen,LTM Performance Last Updated,Amenities - Parking,Amenities - Hot Tub,Amenities - Gym,Amenities - Pets,Amenities - Dryer,Amenities - Washer,Amenities - Pool,Amenities - Kitchen,Amenities - AC,Amenities - WiFi,Amenities - Heating,Amenities - TV,Amenities - BBQ Grill,Amenities - Fireplace,Amenities - Breakfast,Amenities - Beachfront,Amenities - Amazing Views,Booking.com URL,VRBO URL,Photo URL
564172447414405860,A room with 3 beds in Qantab village,https://airbnb.com/rooms/564172447414405860,23.56118,58.62621,"https://www.google.com/maps?q=23.56118,58.62621",Private room in guesthouse,private_room,1,1,3,100,15,171534241,Abdullah,,1,f,0,,32,27,3154,3154,365,6,0,f,,1/17/2023,1/16/2026,,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/a2cf2cbe-b121-4a49-b40a-252d0ed41f8b.jpg?aki_policy=large
907971158554917164,الفيلا الملكية للإيجار اليومي,https://airbnb.com/rooms/907971158554917164,23.614,58.59,"https://www.google.com/maps?q=23.614,58.59",Entire home,entire_home,5,5,10,100,11,518585480,Asad,,1,m,0,,316,33,38062,38062,365,45,0,f,,12/26/2023,1/16/2026,,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/hosting/Hosting-907971158554917164/original/f556006b-b0ea-424f-bc7b-3a175aad5fb5.jpeg?aki_policy=large
1184842776721268532,Oceana Flat,https://airbnb.com/rooms/1184842776721268532,23.60233,58.39983,"https://www.google.com/maps?q=23.60233,58.39983",Entire rental unit,entire_home,1,1,3,90,10,583477151,Ehsan,,1,-1,,,54,83,16359,16359,365,30,0,f,,9/10/2024,1/16/2026,,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/hosting/Hosting-1184842776721268532/original/3df19282-19b2-4a6b-a994-1194f0515465.jpeg?aki_policy=large
1132538335768639767,Lovely 2BR in Heart of Downtown.,https://airbnb.com/rooms/1132538335768639767,23.57561,58.40607,"https://www.google.com/maps?q=23.57561,58.40607",Entire rental unit,entire_home,2,3,5,80,10,458231856,Sabah,,1,f,0,,85,51,15823,15823,365,23,0,f,,4/23/2024,1/16/2026,,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,,,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTEzMjUzODMzNTc2ODYzOTc2Nw%3D%3D/original/167462aa-192d-4510-bad4-dc8e9bf32088.jpeg?aki_policy=large
970786988453393192,Village + Breakfast,https://airbnb.com/rooms/970786988453393192,23.573,58.611,"https://www.google.com/maps?q=23.573,58.611",Private room in rental unit,private_room,1,1,3,100,9,634218,Nedal,,1,f,0,13,42,29,4446,4446,365,32,,f,,9/19/2023,1/16/2026,,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,,,https://a0.muscache.com/im/pictures/miso/Hosting-970786988453393192/original/0775c26b-247c-4a56-bf54-0e0dffb196a6.png?aki_policy=large
48563194,Mazon Stunning Omani House Near Souq Mutrah,https://airbnb.com/rooms/48563194,23.61812,58.56867,"https://www.google.com/maps?q=23.61812,58.56867",Private room in home,private_room,1,1,4,100,9,391816755,Fort,4,1,s,0,,88,87,27944,27944,365,18,0,f,,9/21/2021,1/16/2026,,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/91644342-a41a-4a65-a7d3-3b04b1fcd33d.jpg?aki_policy=large
970666311429785924,Old Muscat Homestay,https://airbnb.com/rooms/970666311429785924,23.61,58.592,"https://www.google.com/maps?q=23.61,58.592",Private room in guesthouse,private_room,1,1,3,100,9,534934539,Sanaz,,1,f,0,5,35,68,8687,8687,365,34,0,f,,1/9/2024,1/16/2026,,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/miso/Hosting-970666311429785924/original/dfa15952-b333-4cef-968d-0a35a19cc108.jpeg?aki_policy=large
1021679065270606778,Arabian Night Nook - Dune grass,https://airbnb.com/rooms/1021679065270606778,23.622,58.487,"https://www.google.com/maps?q=23.622,58.487",Private room in villa,private_room,1,1,2,100,4,493609593,Majid,,1,f,0,,52,68,12906,12906,365,33,0,f,,3/5/2024,1/16/2026,,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/hosting/Hosting-1021679065270606778/original/f80afb84-cb11-4e20-88da-58d23175d401.jpeg?aki_policy=large
1021681099014195938,Arabian Night Nook - Desert Wind,https://airbnb.com/rooms/1021681099014195938,23.622,58.487,"https://www.google.com/maps?q=23.622,58.487",Private room in villa,private_room,1,1,3,100,3,493609593,Majid,,1,f,0,,54,71,13994,13994,365,30,0,f,,4/9/2024,1/16/2026,,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/hosting/Hosting-1021681099014195938/original/6fdab918-c829-45fd-ba11-66472a56f986.jpeg?aki_policy=large
1131253015212861534,Arabian Night Nook - Al Wadi,https://airbnb.com/rooms/1131253015212861534,23.622,58.487,"https://www.google.com/maps?q=23.622,58.487",Private room in villa,private_room,1,1,2,90,3,493609593,Majid,,1,-1,,,51,58,10797,10797,365,35,0,f,,10/8/2024,1/16/2026,,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/hosting/Hosting-1131253015212861534/original/e22ebdc1-b398-43ed-8dcc-a9b3d1d82643.jpeg?aki_policy=large
1018003336576752398,apartment for rent,https://airbnb.com/rooms/1018003336576752398,23.62174,58.50265,"https://www.google.com/maps?q=23.62174,58.50265",Entire rental unit,entire_home,2,3,4,0,2,481608025,Talib,,1,f,0,,118,32,13782,13782,365,42,,f,,11/21/2023,1/16/2026,,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,,,https://a0.muscache.com/im/pictures/hosting/Hosting-1018003336576752398/original/74d3b6c8-af63-4074-825e-1245111da95c.jpeg?aki_policy=large
974256532316595440,Cozy Homestay,https://airbnb.com/rooms/974256532316595440,23.61,58.592,"https://www.google.com/maps?q=23.61,58.592",Private room in guesthouse,private_room,1,1,3,0,1,534934539,Sanaz,,1,-1,,5,37,70,9454,9454,365,33,0,f,,11/19/2024,1/16/2026,,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/miso/Hosting-970666311429785924/original/1b214dcd-5652-4bb0-ad31-8c880c4509b8.jpeg?aki_policy=large
985975354286943120,"شاليه ليالي السيب
Nights  Seeb",https://airbnb.com/rooms/985975354286943120,23.67558,58.17608,"https://www.google.com/maps?q=23.67558,58.17608",Entire home,entire_home,2,3,8,0,1,516778772,Yazn Adnan,,1,f,0,,108,17,6701,6701,365,33,0,f,,4/30/2024,1/16/2026,,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,,,https://a0.muscache.com/im/pictures/fde3743f-81dc-4170-b036-9910120e9a29.jpg?aki_policy=large
